FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,Com & Pres Skills Lab (BCS-2L1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2J1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,Com & Pres Skills Lab (BCS-2L2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2J2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,Operating Systems Lab (BCS-4D),,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2E),,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BSE-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,Data Structures Lab (BSE-4C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BCS-2M1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2L1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,Digital Logic Design Lab (BCS-2M2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Embedded Lab,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2L2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday                     Wednesday,Seminar Hall,,,,,,,,,,,,,Software Engineering (BCS-6A),,,,,,,,,Database Systems (BCS-6A),,,,,,,,,Natural Language Processing (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,Funda. of Software Eng (BDS-4A),,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,Digital Image Processing (BCS-6A),,,,,,,,,Parallel & Dist Computing (BCS-6F),,,,,,,,,Digital Image Processing (BCS-6B),,,,,,,,,Digital Logic Design (BCS-2B),,,,,,,,,,,,,,,,,,Software Testing (BCS-8B),,,,,,,,,Requirement Engineering (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,Digital Logic Design (BCS-2C),,,,,,,,,Database Systems (BCS-4A),,,,,,,,,Database Systems (BCS-4B),,,,,,,,,Database Systems (BDS-4A),,,,,,,,,Database Systems (BCS-4C),,,,,,,,,International Relations (BCS-8A),,,,,,,,,Human Resource Management (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,Design & Analysis of Algo (BCS-4D),,,,,,,,,Database Systems (BCS-4D),,,,,,,,,Design & Analysis of Algo (BCS-4C),,,,,,,,, Object Oriented Programming (BDS-2C),,,,,,,,,Sociology (BCS-6A),,,,,,,,,Professional Practices in IT (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,Software Design and Architecture (BSE-4B),,,,,,,,,Software Design and Architecture (BSE-4A),,,,,,,,,Database Systems (BSE-4A),,,,,,,,,Theory of Automata (BCS-6C),,,,,,,,,Theory of Automata (BCS-6D),,,,,,,,,Modern Politics & Gov (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,Discrete Structures (BSE-4A),,,,,,,,,Digital Logic Design (BCS-2A),,,,,,,,,Digital Logic Design (BCS-2K),,,,,,,,,Parallel & Dist Computing (BCS-6D),,,,,,,,,,,,,,,,,,Software Design & Analysis (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,Parallel & Dist Computing (BCS-6C),,,,,,,,,Blockchain and Cryptocurrency (BCS-8A),,,,,,,,,Differential Equations (BDS-2D),,,,,,,,,Parallel & Dist Computing (BCS-8A),,,,,,,,,Object Oriented Programming (BCS-2K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,Object Oriented Programming (BCS-2J),,,,,,,,,Modern Politics & Gov (BCS-8A),,,,,,,,,Object Oriented Programming (BCS-2E),,,,,,,,,,,,,,,,,,Linear Algebra (BCS-4E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,Object Oriented Analysis & Design (BCS-8A),,,,,,,,,Object Oriented Programming (BCS-2F),,,,,,,,,Artificial Intelligence (BCS-6A),,,,,,,,,Object Oriented Programming (BCS-2M),,,,,,,,,Digital Logic Design (BCS-2N),,,,,,,,,Principles of Leadership (BCS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,Digital Logic Design (BCS-2J),,,,,,,,,Applied Physics (BCS-2P),,,,,,,,,Object Oriented Programming (BCS-2D),,,,,,,,,Object Oriented Programming (BCS-2C),,,,,,,,,Digital Logic Design (BCS-2L),,,,,,,,,Islamic Studies/Ethics (BDS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,Internet of Things (MCS-2A),,,,,,,,,,,,,,,,,,Artificial Intelligence (BCS-6F),,,,,,,,,Programming Fundamentals (BSE-2D),,,,,,,,,Object Oriented Programming (BSE-2B),,,,,,,,,Organizational Behaviour (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,Intro to Cloud Computing (BCS-8A),,,,,,,,,Data Structures (BCS-4F),,,,,,,,,Marketing Management (BCS-4A),,,,,,,,,Business Process Engineering (BSE-4B),,,,,,,,,Business Process Engineering (BSE-4A),,,,,,,,,Pakistan Studies (BSE-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,Research Methodology (MDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BDS-2A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,Artificial Intelligence (BCS-6H),,,,,,,,,Artificial Intelligence (BCS-6G),,,,,,,,,Probability & Statistics (BCS-4F),,,,,,,,,Design & Analysis of Algo (BCS-6A),,,,,,,,,Communication & Presentation Skills (BDS-2A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,Islamic Studies/Ethics (BCS-2M),,,,,,,,,Data Structures (BCS-4G),,,,,,,,,Compiler Construction (BCS-8A),,,,,,,,,Probability & Statistics (BCS-4E),,,,,,,,,Probability & Statistics (BCS-4D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-4,,,,,,,,,,,,,,,,,,,,,,Advanced Computer Architecture (MCS-2A),,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2E),,,,,,,,,Pakistan Studies (BCS-2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-5,,,,Islamic Studies/Ethics (BDS-2D),,,,,,,,,,,,,,,,,,Probability & Statistics (BCS-4A),,,,,,,,,Probability & Statistics (BCS-4B),,,,,,,,,Compiler Construction (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,Finance and Accounting (BCS-4A),,,,,,,,,Psychology (BCS-8A),,,,,,,,,Differential Equations (BCS-2H),,,,,,,,,Theory of Automata (BCS-6A),,,,,,,,,Theory of Automata (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,,,,,,,,,,,,,,,,,,Differential Equations (BCS-2J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2C),,,,,,,,,,,,,,,,,,Differential Equations (BDS-2B),,,,,,,,,Differential Equations (BDS-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,Mass Communication (BCS-8A),,,,,,,,,Computer Architecture (BCS-8A),,,,,,,,,Reserved for Math Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1,,,,,,,,,,,,,Differential Equations (BCS-2B),,,,,,,,,Communication & Presentation Skills (BCS-2F),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BCS-2H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,Parallel & Dist Computing (BCS-6E),,,,,,,,,Operating Systems (BCS-6A),,,,,,,,,Communication & Presentation Skills (BCS-2G),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (BCS-2J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,,,,,,,,,,,,,,,,,,Data Structures (BSE-4C),,,,,,,,,,,,,,,,,,Pakistan Studies (BSE-2A),,,,,,,,,Intro to Software Engineering (BSE-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-1,,,,Com & Pres Skills Lab (BCS-2B1),,,,,,,,,Com & Pres Skills Lab (BCS-2H1),,,,,,,,,Com & Pres Skills Lab (BCS-2N1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D1),,,,,,,,,Com & Pres Skills Lab (BCS-2M1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-2,,,,Com & Pres Skills Lab (BCS-2B2),,,,,,,,,Com & Pres Skills Lab (BCS-2H2),,,,,,,,,Com & Pres Skills Lab (BCS-2N2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2D2),,,,,,,,,Com & Pres Skills Lab (BCS-2M2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2E1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C1),,,,,,,,,Com & Pres Skills Lab (BCS-2A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2E2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C2),,,,,,,,,Com & Pres Skills Lab (BCS-2A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,Object Oriented Programming lab (BCS-2K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,Object Oriented Programming lab (BCS-2L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Database Systems Lab (BDS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BSE-2A),,,,,,,,,,,,,,,,,,Software Design and Architecture Lab (BSE-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,Programming Fundamentals Lab (BSE-2D),,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for EE Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,Reserved for EE Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MG Department,,,,,,,,,,,,,,,,,,Reserved for MG Department,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,Programming Fundamentals Lab (BDS-2E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BCS-2N1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2A1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2G1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,Digital Logic Design Lab (BCS-2N2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2A2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2G2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday                      Thursday ,Seminar Hall,,,,Linear Algebra (BDS-4A),,,,,,,,,Software Engineering (BCS-6B),,,,,,,,,F. of Big Data Analytics (BDS-4A),,,,,,,,,Advanced Statistics  (BDS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,Computer Networks (BCS-6C),,,,,,,,,Entreprenuership (BCS-6A),,,,,,,,,Differential Equations (BCS-2F),,,,,,,,,Bio-informatics (BCS-6A),,,,,,,,,object oriented programming (BSE-2A),,,,,,,,,,,,,,,,,,Topics in Software Engineering (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,,,,,,,,,Parallel & Dist Computing (BCS-6A),,,,,,,,,Advance Database Concepts (BCS-6A),,,,,,,,,Parallel & Dist Computing (BCS-6B),,,,,,,,,Web Programming (BCS-6A),,,,,,,,,,,,,,,,,,Calc & Analytical Geometry (BCS-2P),,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,,,,,,,,,Islamic Studies/Ethics (BCS-2H),,,,,,,,,Data Science (BCS-8B),,,,,,,,,Data Science (BCS-8A),,,,,,,,,Software Design & Analysis (BCS-6A),,,,,,,,,Programming Fundamentals (BCS-2P),,,,,,,,,Programming Fundamentals (BCS-2Q),,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,Artificial Intelligence (BCS-6D),,,,,,,,,Artificial Intelligence (BCS-6B),,,,,,,,,Software Engineering (BCS-6E),,,,,,,,,Computer Networks (BCS-6B),,,,,,,,,Computer Networks (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,Computational Intelligence (MCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Structures (BDS-4C),,,,,,,,,Principles of Leadership (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,Deep Learning (MDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet of Things (BCS-8A),,,,,,,,,Internet of Things (BCS-8B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,Object Oriented Programming (BCS-2B),,,,,,,,,Object Oriented Programming (BCS-2A),,,,,,,,,Object Oriented Programming (BCS-2E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,Digital Logic Design (BCS-2M),,,,,,,,,Differential Equations (BCS-2L),,,,,,,,,Operating Systems (BCS-4D),,,,,,,,,Design & Analysis of Algo (BCS-4B),,,,,,,,,Differential Equations (BCS-2E),,,,,,,,,Digital Logic Design (BCS-2H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,Artificial Intelligence (BCS-6J),,,,,,,,,Design & Analysis of Algo (BCS-4A),,,,,,,,,Operating Systems (BCS-4C),,,,,,,,,Operating Systems (BCS-4A),,,,,,,,,Object Oriented Programming (BCS-2N),,,,,,,,,Operating Systems (BCS-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,Digital Logic Design (BCS-2D),,,,,,,,,object oriented programming (BDS-2D),,,,,,,,,Software for Mobile Devices (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,Islamic Studies/Ethics (BDS-2C),,,,,,,,,Software Engineering (BCS-6C),,,,,,,,,Software Engineering (BCS-6D),,,,,,,,,Environmental Studies (BCS-4A),,,,,,,,,,,,,,,,,,Entrepreneurship (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,Intro to Soft. Proj. Management (BCS-8A),,,,,,,,,NOT AVAILABLE,,,,,,,,,Mass Communication (BCS-6A),,,,,,,,,Pakistan Studies (BCS-2B),,,,,,,,,Communication & Presentation Skills (BCS-2M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (BSE-2A),,,,,,,,, Programming Fundamentals (BDS-2E),,,,,,,,,Pakistan Studies (BCS-2G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,,,,,,,,,,Object Oriented Programming (BCS-2F),,,,,,,,,Applied Programming (MCS-2A),,,,,,,,,,,,,,,,,,Differential Equations (BCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-4,,,,,,,,,,,,,NOT AVAILABLE,,,,,,,,,,,,,,,,,,Artificial Intelligence (BCS-6C),,,,,,,,,Marketing Management (BCS-6A),,,,,,,,,Islamic Studies/Ethics (BDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-5,,,,Probability & Statistics (BSE-4A),,,,,,,,,Differential Equations (BCS-2C),,,,,,,,,,,,,,,,,,Differential Equations (BCS-2M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,,,,,,,,,Psychology (BCS-4A),,,,,,,,,,,,,,,,,,Psychology (BCS-6A),,,,,,,,,,,,,,,,,,Pakistan Studies (BSE-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,Mass Communication (BCS-4A),,,,,,,,,Probability & Statistics (BCS-4C),,,,,,,,,object oriented programming (BDS-2B),,,,,,,,,Entreprenuership (BCS-4A),,,,,,,,,Digital Logic Design (BDS-2A),,,,,,,,,Digital Logic Design (BDS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,Islamic Studies/Ethics (BCS-2K),,,,,,,,,Intro to Software Engineering (BSE-2B),,,,,,,,,Artificial Intelligence (BCS-6E),,,,,,,,,,,,,,,,,,Intro to Software Engineering (BSE-2C),,,,,,,,,Differential Equations (BCS-2N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
